Group,Customer_Segment,Sales_Before,Sales_After,Customer_Satisfaction_Before,Customer_Satisfaction_After,Purchase_Made,Sales_Change,Satisfaction_Change,Purchase_Made_Numeric
control,high value,240.5483589001639,300.0075675302556,74.68476650922942,73.87259310735006,no,59.459208630091695,-0.8121734018793632,0
treatment,high value,246.8621142097213,381.3375545299784,100.0,100.0,yes,134.47544032025706,0.0,1
control,high value,156.97808447859475,179.33046351143602,98.78073492771196,100.0,no,22.35237903284127,1.2192650722880387,0
control,medium value,192.1267083410125,229.2780311449778,49.33376568403194,39.81184102884268,yes,37.151322803965314,-9.52192465518926,1
unknown,high value,229.6856225311863,280.45795220654577,83.97485224,87.73859146013874,yes,50.77232967535946,3.7637392201387314,1
treatment,unknown,135.5730030724036,218.55998793624312,58.075341560288535,69.40491770418247,no,82.98698486383952,11.32957614389393,0
control,high value,191.71391751322253,222.4093562953567,89.96782704218455,85.12097519074193,yes,30.695438782134175,-4.846851851442622,1
control,low value,173.75255497726224,213.1682319169392,66.98471067566065,67.88155831219294,unknown,39.415676939676956,0.8968476365322857,0
unknown,high value,208.3085772,248.1788297406119,95.3666699106182,84.79029369447808,yes,39.87025254061189,-10.576376216140119,1
treatment,high value,235.07149317447795,352.7568720796089,72.91985145581212,70.75322510464026,no,117.68537890513096,-2.166626351171857,0
control,low value,139.93153925886617,170.23839621775963,59.844765580197226,73.87259310735006,yes,30.306856958893462,14.02782752715283,1
control,high value,203.71699822858852,333.0649723842069,74.38393900776379,67.94240255950163,unknown,129.34797415561837,-6.4415364482621555,0
control,unknown,211.8349368284123,254.84391219852023,70.25207641696215,87.60154444766816,yes,43.00897537010792,17.349468030706007,1
control,high value,217.77601332639472,259.9896243956994,100.0,100.0,yes,42.213611069304704,0.0,1
unknown,medium value,173.18344545034157,284.9242994285349,81.94912049151024,73.87259310735006,no,111.74085397819331,-8.076527384160187,0
control,low value,188.33896253003337,232.58248579885085,53.45882198158094,63.46722449883956,yes,44.24352326881748,10.008402517258624,1
treatment,unknown,306.7014523489638,485.1354244954794,77.43166164966323,78.36128221143248,unknown,178.4339721465156,0.929620561769255,0
treatment,low value,164.63631906370986,242.3219339433057,50.557336938790826,63.47724520875917,no,77.68561487959585,12.919908269968346,0
treatment,unknown,151.73386907837792,231.61542790862327,51.64879271063811,73.87259310735006,yes,79.88155883024535,22.223800396711944,1
control,low value,136.6363152824632,162.7193515233652,50.29607851025652,46.96473643066456,yes,26.083036240902004,-3.3313420795919626,1
treatment,high value,225.16316493897875,355.2104510853748,70.25207641696215,95.05431689,no,130.04728614639606,24.80224047303784,0
control,high value,215.2826142380435,264.2998632701579,83.27203259267907,100.0,yes,49.01724903211442,16.727967407320932,1
treatment,low value,182.99078495831023,277.8915659929541,51.35488357781548,64.40241350614076,no,94.90078103464387,13.047529928325282,0
treatment,medium value,216.75212622867403,342.64310388488025,70.25207641696215,68.33514145,yes,125.89097765620622,-1.9169349669621596,1
treatment,low value,193.36515170745048,293.18381183311226,57.82708352005616,62.87584818573787,no,99.81866012566178,5.048764665681709,0
treatment,medium value,199.89748271827628,317.38843608779985,74.92718784301869,75.32867379,no,117.49095336952357,0.40148594698131035,0
treatment,low value,263.2041451,280.45795220654577,56.3113850315552,45.33645803118631,yes,17.253807106545764,-10.974927000368886,1
treatment,low value,213.2222876593125,341.428155688604,45.39979304129021,46.47630106153783,no,128.2058680292915,1.0765080202476227,0
treatment,low value,128.76663156266886,202.57829702148177,54.96175660876392,42.65810995393944,no,73.81166545881291,-12.303646654824483,0
treatment,high value,134.01751025099622,205.5408433061477,70.25207641696215,86.28785873002904,yes,71.52333305515148,16.03578231306689,1
control,medium value,162.78694724515825,197.0942672258629,64.78195876,71.75744553562056,yes,34.30731998070465,6.975486775620567,1
control,medium value,203.71699822858852,256.7950582762058,72.49876467053772,73.87259310735006,no,53.07806004761727,1.3738284368123317,0
treatment,low value,145.40486887836266,226.8527581404369,59.25262599419791,53.19109377464451,no,81.44788926207423,-6.061532219553406,0
treatment,high value,203.71699822858852,132.2872220994811,39.42157094419601,100.0,no,-71.42977612910741,60.57842905580399,0
